,date,currency,amount,balance,balance_cedis,amount_cedis,source,type,Cluster,narration,cleaned_narration,sub_category,main_category
43,2023-07-30 01:23:01,GHS,307.0,2377.04,2377.04,307.0,Stanbic Bank,debit,0,MEDICINE,MEDICINE,personal care,shopping
44,2023-07-30 01:23:00,GHS,1.5,2684.04,2684.04,1.5,Stanbic Bank,debit,0,ELEVY NULL,ELEVY NULL,government tax,charges
45,2023-07-30 01:22:58,GHS,5.0,2835.54,2835.54,5.0,Stanbic Bank,debit,0,ELEVY NULL,ELEVY NULL,government tax,charges
46,2023-07-30 01:22:56,GHS,0.51,3340.54,3340.54,0.51,Stanbic Bank,debit,0,ELEVY NULL,ELEVY NULL,government tax,charges
47,2023-07-30 01:22:55,GHS,151.0,3341.05,3341.05,151.0,Stanbic Bank,debit,0,WATERBILL,WATERBILL,internet_and_utilities,bills
48,2023-08-07 01:21:56,GHS,77.0,1960.26,1960.26,77.0,Stanbic Bank,debit,0,FOOD,FOOD,food,shopping
49,2023-08-10 01:22:10,GHS,0.2,1173.83,1173.83,0.2,Stanbic Bank,debit,0,ELEVY NULL,ELEVY NULL,government tax,charges
50,2023-08-10 01:22:09,GHS,82.5,1174.03,1174.03,82.5,Stanbic Bank,debit,0,FOOD,FOOD,food,shopping
51,2023-08-17 01:22:26,GHS,9.18,9050.61,9050.61,9.18,Stanbic Bank,debit,0,ELEVY NULL,ELEVY NULL,government tax,charges
52,2023-08-17 01:22:24,GHS,10000.0,10059.79,10059.79,10000.0,Stanbic Bank,credit,0,JRBXGCLOGSAGINSCLOGSAGFUNDINSTANTLOA,JRBXGCLOGSAGINSCLOGSAGFUNDINSTANTLOA,online payment,bills
53,2023-08-25 01:22:50,GHS,3443.53,3501.6,3501.6,3443.53,Stanbic Bank,credit,0,SALARY BO CAG KUMASI AUG,SALARY BO CAG KUMASI AUG,salary,income
54,2023-08-29 01:23:06,GHS,100.0,1781.38,1781.38,100.0,Stanbic Bank,debit,0,PAT,PAT,others,others
55,2023-08-29 01:23:03,GHS,30.5,1882.18,1882.18,30.5,Stanbic Bank,debit,0,FOOD,FOOD,food,shopping
56,2023-09-26 01:22:47,GHS,2889.36,4041.09,4041.09,2889.36,Stanbic Bank,credit,0,SALARY BO CAG KUMASI SEP,SALARY BO CAG KUMASI SEP,salary,income
57,2023-09-29 01:22:53,GHS,0.5,2318.14,2318.14,0.5,Stanbic Bank,debit,0,ELEVY NULL,ELEVY NULL,government tax,charges
58,2023-09-29 01:22:52,GHS,50.5,2318.64,2318.64,50.5,Stanbic Bank,debit,0,DRINK,DRINK,food,shopping
59,2023-10-01 01:23:06,GHS,81.5,910.4,910.4,81.5,Stanbic Bank,debit,0,FOOD,FOOD,food,shopping
60,2023-10-04 01:23:06,GHS,125.0,294.89,294.89,125.0,Stanbic Bank,credit,0,REV DATA,REV DATA,reversals,reversals
61,2023-10-04 01:23:03,GHS,125.0,171.4,171.4,125.0,Stanbic Bank,debit,0,DATA,DATA,internet_and_utilities,services
62,2023-10-07 01:23:10,GHS,101.0,6481.0,6481.0,101.0,Stanbic Bank,debit,0,BEN WEDDING,BEN WEDDING,others,others
63,2023-10-08 01:23:13,GHS,80.5,6398.48,6398.48,80.5,Stanbic Bank,debit,0,CLOTHES,CLOTHES,fashion,shopping
64,2022-03-14 00:00:00,GHS,1000.0,1561.19,1561.19,1000.0,Standard Chartered,debit,0,INSTANT PAY JEAN NII ODARTEYE QUARCO BOOK,INSTANT PAY JEAN NII ODARTEYE QUARCO BOOK,online payment,bills
65,2022-03-18 00:00:00,GHS,180.0,397.19,397.19,180.0,Standard Chartered,credit,0,IBANKING TRANSFER FROM FOOD FOR EVERYONE,IBANKING TRANSFER FROM FOOD FOR EVERYONE,food,shopping
66,2022-03-18 00:00:00,GHS,200.0,217.19,217.19,200.0,Standard Chartered,credit,0,IBANKING TRANSFER FROM DRUGS MAMAS CUISINE WATER,IBANKING TRANSFER FROM DRUGS MAMAS CUISINE WATER,bank transfer,transfers
67,2022-03-28 00:00:00,GHS,500.0,2340.94,2340.94,500.0,Standard Chartered,credit,0,IBANKING TRANSFER FROM EAST END MARCH,IBANKING TRANSFER FROM EAST END MARCH,bank transfer,transfers
68,2022-03-28 00:00:00,GHS,745.0,2560.94,2560.94,745.0,Standard Chartered,credit,0,IBANKING TRANSFER FROM TINA FOOD WATER BURGER KING,IBANKING TRANSFER FROM TINA FOOD WATER BURGER KING,food,shopping
69,2022-03-28 00:00:00,GHS,520.0,1820.94,1820.94,520.0,Standard Chartered,debit,0,INSTANT PAY JUSTINA ABOTSI COOKING OKERE,INSTANT PAY JUSTINA ABOTSI COOKING OKERE,online payment,bills
70,2022-04-04 00:00:00,GHS,1000.0,6317.43,6317.43,1000.0,Standard Chartered,credit,0,IBANKING TRANSFER FROM SHOPPING WITH MEME,IBANKING TRANSFER FROM SHOPPING WITH MEME,bank transfer,transfers
71,2022-04-04 00:00:00,GHS,703.0,4850.53,4850.53,703.0,Standard Chartered,debit,0,INSTANT PAY JUSTINA ABOTSI FOOD ORDER,INSTANT PAY JUSTINA ABOTSI FOOD ORDER,online payment,bills
72,2022-04-04 00:00:00,GHS,705.0,5550.53,5550.53,705.0,Standard Chartered,credit,0,IBANKING TRANSFER FROM FOOD TH APRIL,IBANKING TRANSFER FROM FOOD TH APRIL,food,shopping
73,2022-04-05 00:00:00,GHS,5.0,5586.43,5586.43,5.0,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
74,2022-04-05 00:00:00,GHS,95.0,5996.43,5996.43,95.0,Standard Chartered,debit,0,INSTANT PAY THE WINGMAN LIMITED OMIMIORDER,INSTANT PAY THE WINGMAN LIMITED OMIMIORDER,online payment,bills
75,2022-04-05 00:00:00,GHS,500.0,5591.43,5591.43,500.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE MOMOBALANCE,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE MOMOBALANCE,online payment,bills
76,2022-04-19 00:00:00,GHS,1943.0,4573.55,4573.55,1943.0,Standard Chartered,credit,0,IBANKING TRANSFER FROM TINAFOOD AND ALL OUTS APRIL,IBANKING TRANSFER FROM TINAFOOD AND ALL OUTS APRIL,food,shopping
77,2022-04-19 00:00:00,GHS,5.0,3184.5,3184.5,5.0,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
78,2022-04-19 00:00:00,GHS,515.0,4058.55,4058.55,515.0,Standard Chartered,debit,0,INSTANT PAY JUSTINA ABOTSI OKERE FOOD,INSTANT PAY JUSTINA ABOTSI OKERE FOOD,online payment,bills
79,2022-04-19 00:00:00,GHS,500.0,3189.5,3189.5,500.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FUNDING,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FUNDING,online payment,bills
80,2022-04-21 00:00:00,GHS,5.0,769.5,769.5,5.0,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
81,2022-04-21 00:00:00,GHS,750.0,774.5,774.5,750.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FUNDING,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FUNDING,online payment,bills
82,2022-04-29 00:00:00,GHS,160.0,37.9,37.9,160.0,Standard Chartered,debit,0,INSTANT PAY JASMINE NTRIWAA OWUSU OMIMIORDER,INSTANT PAY JASMINE NTRIWAA OWUSU OMIMIORDER,online payment,bills
83,2022-05-09 00:00:00,GHS,605.0,1135.32,1135.32,605.0,Standard Chartered,debit,0,INSTANT PAY JUSTINA ABOTSI MAY ORDER,INSTANT PAY JUSTINA ABOTSI MAY ORDER,online payment,bills
84,2022-05-16 00:00:00,GHS,1798.0,1888.81,1888.81,1798.0,Standard Chartered,credit,0,IBANKING TRANSFER FROM TINA M CUIS ALL MAY,IBANKING TRANSFER FROM TINA M CUIS ALL MAY,bank transfer,transfers
85,2022-05-19 00:00:00,GHS,200.0,985.02,985.02,200.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE MOMO,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE MOMO,online payment,bills
86,2022-05-19 00:00:00,GHS,2.0,983.02,983.02,2.0,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
87,2022-05-23 00:00:00,GHS,810.0,851.02,851.02,810.0,Standard Chartered,credit,0,IBANKING TRANSFER FROM EGGS PIZZA HUT X ETC MAY,IBANKING TRANSFER FROM EGGS PIZZA HUT X ETC MAY,food,shopping
88,2022-05-24 00:00:00,GHS,5.0,346.02,346.02,5.0,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
89,2022-05-24 00:00:00,GHS,500.0,351.02,351.02,500.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE VFCASH FUNDING,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE VFCASH FUNDING,online payment,bills
90,2022-05-25 00:00:00,GHS,2300.0,2646.02,2646.02,2300.0,Standard Chartered,credit,0,IBANKING TRANSFER FROM MAYBILLS,IBANKING TRANSFER FROM MAYBILLS,bank transfer,transfers
91,2022-05-27 00:00:00,GHS,400.0,2170.02,2170.02,400.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE MOMOFUNDING,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE MOMOFUNDING,online payment,bills
92,2022-05-27 00:00:00,GHS,4.0,2166.02,2166.02,4.0,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
93,2022-05-30 00:00:00,GHS,500.0,1666.02,1666.02,500.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE VCASHFUNDING,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE VCASHFUNDING,online payment,bills
94,2022-05-30 00:00:00,GHS,5.0,1661.02,1661.02,5.0,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
95,2022-06-07 00:00:00,GHS,500.0,350.25,350.25,500.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE MOEN,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE MOEN,online payment,bills
96,2022-06-07 00:00:00,GHS,1.5,193.75,193.75,1.5,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
97,2022-06-07 00:00:00,GHS,150.0,195.25,195.25,150.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE PIZZA,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE PIZZA,online payment,bills
98,2022-06-07 00:00:00,GHS,5.0,345.25,345.25,5.0,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
99,2022-06-08 00:00:00,GHS,250.0,243.75,243.75,250.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE DEPOSIT,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE DEPOSIT,online payment,bills
100,2022-06-08 00:00:00,GHS,2.5,241.25,241.25,2.5,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
101,2022-06-09 00:00:00,GHS,170.0,21.25,21.25,170.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE KRAVEFOOD,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE KRAVEFOOD,online payment,bills
102,2022-06-09 00:00:00,GHS,1.7,19.55,19.55,1.7,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
103,2022-06-09 00:00:00,GHS,5300.0,5521.25,5521.25,5300.0,Standard Chartered,credit,0,SCB OPEIBEA BO,SCB OPEIBEA BO,others,others
104,2022-06-13 00:00:00,GHS,3.5,637.04,637.04,3.5,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
105,2022-06-13 00:00:00,GHS,730.0,995.55,995.55,730.0,Standard Chartered,debit,0,INSTANT PAY JUSTINA ABOTSI FOOD ORDER,INSTANT PAY JUSTINA ABOTSI FOOD ORDER,online payment,bills
106,2022-06-13 00:00:00,GHS,350.0,640.54,640.54,350.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FUNDING,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FUNDING,online payment,bills
107,2022-07-21 00:00:00,GHS,13003.5,28716.89,28716.89,13003.5,Standard Chartered,credit,0,HOLLARD INSURANCE DRIINPVPV,HOLLARD INSURANCE DRIINPVPV,insurance,insurance
108,2022-12-06 00:00:00,GHS,3000.0,9994.89,9994.89,3000.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE MOMO FUNDING,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE MOMO FUNDING,online payment,bills
109,2022-12-06 00:00:00,GHS,5.0,9989.89,9989.89,5.0,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
110,2022-12-09 00:00:00,GHS,10243.0,8148.57,8148.57,10243.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE INSURANCE PAYMENT,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE INSURANCE PAYMENT,online payment,bills
111,2022-12-09 00:00:00,GHS,5.0,8143.57,8143.57,5.0,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
112,2022-12-22 00:00:00,GHS,700.0,69.87,69.87,700.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FUNDING,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FUNDING,online payment,bills
113,2022-12-22 00:00:00,GHS,5.0,64.87,64.87,5.0,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
114,2023-01-04 00:00:00,GHS,5.0,9637.59,9637.59,5.0,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
115,2023-01-04 00:00:00,GHS,5.0,8610.09,8610.09,5.0,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
116,2023-01-04 00:00:00,GHS,1000.0,8615.09,8615.09,1000.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FUNDING,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FUNDING,online payment,bills
117,2023-01-04 00:00:00,GHS,1500.0,9642.59,9642.59,1500.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FUNDING,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FUNDING,online payment,bills
118,2023-01-06 00:00:00,GHS,1150.0,7445.09,7445.09,1150.0,Standard Chartered,debit,0,INSTANT PAY JUSTINA ABOTSI FOODJAN,INSTANT PAY JUSTINA ABOTSI FOODJAN,online payment,bills
119,2023-01-10 00:00:00,GHS,1500.0,5922.84,5922.84,1500.0,Standard Chartered,debit,0,INSTANT PAY MR CHRIS Y OPOKU DRINKS,INSTANT PAY MR CHRIS Y OPOKU DRINKS,online payment,bills
120,2023-01-11 00:00:00,GHS,1500.0,4273.34,4273.34,1500.0,Standard Chartered,debit,0,INSTANT PAY MR CHRIS Y OPOKU FROMKEZZ,INSTANT PAY MR CHRIS Y OPOKU FROMKEZZ,online payment,bills
121,2023-01-24 00:00:00,GHS,800.0,5045.84,5045.84,800.0,Standard Chartered,credit,0,IBANKING TRANSFER FROM FEBRUARY AND REST OF JAN,IBANKING TRANSFER FROM FEBRUARY AND REST OF JAN,bank transfer,transfers
122,2023-01-27 00:00:00,GHS,5.0,5876.84,5876.84,5.0,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
123,2023-01-27 00:00:00,GHS,1000.0,5881.84,5881.84,1000.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FUNDING,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FUNDING,online payment,bills
124,2023-02-02 00:00:00,GHS,1000.0,4629.49,4629.49,1000.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FUNDS,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FUNDS,online payment,bills
125,2023-02-02 00:00:00,GHS,5.0,4624.49,4624.49,5.0,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
126,2023-02-10 00:00:00,GHS,5.0,3609.49,3609.49,5.0,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
127,2023-02-10 00:00:00,GHS,1000.0,3614.49,3614.49,1000.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FEBFUNDS,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FEBFUNDS,online payment,bills
128,2023-02-13 00:00:00,GHS,700.0,2712.52,2712.52,700.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE CHOW,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE CHOW,online payment,bills
129,2023-02-13 00:00:00,GHS,5.0,2707.52,2707.52,5.0,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
130,2023-02-20 00:00:00,GHS,500.0,2250.9,2250.9,500.0,Standard Chartered,credit,0,IBANKING TRANSFER FROM PIZZA,IBANKING TRANSFER FROM PIZZA,food,shopping
131,2023-02-21 00:00:00,GHS,5.0,626.65,626.65,5.0,Standard Chartered,debit,0,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,INSTANT PAY FEE IHEOMIMI ANTHONY CHUKWUE,charges_or_fees,charges
132,2023-02-21 00:00:00,GHS,500.0,631.65,631.65,500.0,Standard Chartered,debit,0,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FUNDS,INSTANT PAY IHEOMIMI ANTHONY CHUKWUE FUNDS,online payment,bills
133,2023-02-23 00:00:00,GHS,830.0,1801.65,1801.65,830.0,Standard Chartered,debit,0,INSTANT PAY JUSTINA ABOTSI FEBRUARY FOOD,INSTANT PAY JUSTINA ABOTSI FEBRUARY FOOD,online payment,bills
134,2023-02-28 01:23:09,GHS,99.59,295.08,295.08,99.59,Stanbic Bank,credit,0,FEB MONTHLY CONTRIBUTION,FEB MONTHLY CONTRIBUTION,contributions,contributions
